cell_km,medoid_rank,consensus_rank,species,occurrence_rows,unique_locations,duplicate_rows,occupied_cells,occupied_area_km2,centroid_x_km,centroid_y_km,mean_pairwise_jsd,jsd_to_consensus
20,30,55,Sedum alpestre,3131,3131,0,298,119200,-146.48171314070592,-708.2408329496899,0.6998000047226259,0.4929597162841126
20,31,8,Euphorbia cyparissias,67936,67936,0,5877,2350800,-37.41849762106488,-429.8013492180152,0.7002919919701037,0.3513873560709308
20,32,68,Alchemilla fissa,1428,1428,0,197,78800,-114.66672265093524,-676.513424920346,0.7017764135611358,0.512652849404702
20,33,26,Scabiosa columbaria,22530,22530,0,2506,1002400,-421.26261879573826,-431.4638057601979,0.7019831448623016,0.4064543953879399
20,34,61,Leucanthemopsis alpina,4706,4706,0,318,127200,-108.47990598692027,-669.0813076535338,0.70243031830809,0.4971889490485225
20,35,62,Phyteuma hemisphaericum,5021,5021,0,357,142800,-147.34848963705437,-683.8919427424657,0.703240549347411,0.49873711556719535
20,36,70,Omalotheca hoppeana,999,999,0,189,75600,-70.249358422944,-659.256357082761,0.7034544402543642,0.5136606585159337
20,37,71,Veronica bellidioides,2608,2608,0,225,90000,-111.07832045663837,-679.3443839499813,0.704154697298229,0.514779143418901
20,38,22,Poa alpina,21827,21827,0,2006,802400,37.36484839114611,375.7068362735613,0.7042609667424403,0.39697021330876336
20,39,67,Luzula alpinopilosa,3018,3018,0,243,97200,-33.71599247551582,-633.2028886532136,0.7050201460865249,0.5123719921684065
20,40,24,Salvia pratensis,38030,38030,0,3821,1528400,-117.32574789652813,-531.7691887908315,0.7057562876471841,0.39941063333577687
20,41,33,Dryas octopetala,17673,17673,0,1480,592000,-1.5401938289644728,269.05808206682434,0.7076926875080902,0.4250983066217447
20,42,65,Leontopodium nivale,4627,4627,0,462,184800,-59.926400748547834,-662.0062554489301,0.7086185546962858,0.5104293081664621
20,43,74,Gentiana bavarica,3085,3085,0,229,91600,-3.3965685777877344,-598.9983275386601,0.708891798126902,0.5217432850706247
20,44,14,Leontodon hispidus,44139,44139,0,4179,1671600,-197.58090650986497,-162.74076687107078,0.7114507044674473,0.3809118717417242
20,45,39,Koeleria pyramidata,8040,8040,0,1617,646800,-98.99723803619328,-531.2233815904071,0.7117670927055246,0.43793812709202906
20,46,30,Brachypodium pinnatum,40120,40120,0,3214,1285600,-322.89088088511255,-489.0735439713766,0.7129388210301385,0.4136038230124673
20,47,69,Mutellina adonidifolia,3368,3368,0,272,108800,64.09585797683594,-568.5603716372223,0.7134389865193479,0.5127610678754653
20,48,76,Potentilla brauneana,770,770,0,164,65600,27.851027502424376,-603.1585264331301,0.714203945078739,0.5286220907330441
20,49,50,Globularia bisnagarica,10117,10117,0,1280,512000,-307.33569258004246,-721.0915509312943,0.714661141323749,0.4720785830873773
20,50,51,Euphrasia salisburgensis,3741,3741,0,499,199600,85.07907734730324,-136.15613456803968,0.7148028680614291,0.47780519079332273
20,51,41,Melica ciliata,10110,10110,0,1497,598800,-402.05554911356194,-841.8008272594,0.7159398790510791,0.44601607710953756
20,52,13,Linum catharticum,44417,44417,0,4168,1667200,-354.50393277789334,15.352027812788663,0.717457054384779,0.3808945919419651
20,53,80,Carex curvula,2917,2917,0,207,82800,-104.66555185118162,-675.7603947898891,0.7195130870320793,0.540174301086342
20,54,36,Cynanchica pyrenaica,14245,14245,0,2043,817200,-347.8914269829018,-561.0927803425701,0.7202130056813807,0.4279010844680676
20,55,15,Centaurea scabiosa,42766,42766,0,5378,2151200,-22.017164508537736,-12.262751048559656,0.7216606832056603,0.38337087893236277
20,56,58,Cirsium acaulon,6263,6263,0,1226,490400,-412.9431033184653,-588.4530260694537,0.7265053074044671,0.4950460021740589
20,57,77,Saxifraga caesia,2366,2366,0,259,103600,93.74592135573083,-578.0875068346784,0.727083141423455,0.5307252242042473
20,58,34,Viola hirta,25803,25803,0,3395,1358000,-146.21013131327732,-183.3391136803075,0.728597827552163,0.4257650594212772
20,59,42,Carex humilis,9778,9778,0,1270,508000,-304.6732913964713,-754.8131283871388,0.7292956623212463,0.45059676633151624
20,60,87,Trifolium alpinum,7421,7421,0,310,124000,-281.98721979880344,-751.1948004797323,0.7299018722941767,0.5582015362108182
20,61,48,Alyssum alyssoides,12396,12396,0,1588,635200,-302.6448079049095,-758.4408593132537,0.7330420666059664,0.4654782569467506
20,62,56,Arnica montana,24670,24670,0,1564,625600,24.440380600214787,-56.90724481446244,0.7355953371878322,0.49348728340703
20,63,19,Arenaria serpyllifolia,43708,43708,0,4833,1933200,-151.3031932756918,-11.171390943841985,0.7361366808933494,0.39467597018831685
20,64,37,Clinopodium acinos,14230,14230,0,3097,1238800,28.973394168752254,15.219879770220519,0.7373520250570827,0.4309319518340743
20,65,84,Ranunculus alpestris,2677,2677,0,257,102800,86.00489863730229,-546.2697144153088,0.7385441033281533,0.5474454062162887
20,66,99,Pilosella glacialis,977,977,0,151,60400,-138.5692206845899,-700.0900822093904,0.7388710728442313,0.5895738073376706
